Elapsed,Reward
0.017676,41.0
0.026103,31.0
0.031819,20.0
0.037853,22.0
0.043699,21.0
0.049645,21.0
0.055829,22.0
0.061415,19.0
0.06728,20.0
0.073037,20.0
0.08462,48.0
0.092066,28.0
0.107489,43.0
0.117686,23.0
0.125093,14.0
0.134512,22.0
0.141186,13.0
0.150891,22.0
0.158079,19.0
0.165801,26.0
0.178513,50.0
0.184819,23.0
0.190332,19.0
0.201487,47.0
0.211152,39.0
0.215825,15.0
0.226099,43.0
0.237861,50.0
0.244345,24.0
0.249194,16.0
0.253852,15.0
0.257143,9.0
0.261978,16.0
0.271202,36.0
0.283656,29.0
0.294167,24.0
0.301797,15.0
0.31468,30.0
0.322798,17.0
0.332639,22.0
0.343847,25.0
0.363153,50.0
0.369408,11.0
0.377853,18.0
0.393443,38.0
0.413608,50.0
0.424063,23.0
0.432706,17.0
0.440576,16.0
0.451531,25.0
0.462292,23.0
0.472644,22.0
0.484368,26.0
0.494385,21.0
0.514763,50.0
0.521622,12.0
0.536892,36.0
0.556987,50.0
0.563808,12.0
0.571003,13.0
0.57851,14.0
0.585643,13.0
0.604559,46.0
0.610661,10.0
0.623203,28.0
0.630744,14.0
0.647055,37.0
0.666909,47.0
0.687413,50.0
0.705986,45.0
0.713828,15.0
0.727788,32.0
0.744655,50.0
0.762384,50.0
0.775414,50.0
0.780853,15.0
0.788032,24.0
0.802052,48.0
0.813917,37.0
0.82461,41.0
0.835015,35.0
0.845089,40.0
0.851392,19.0
0.863366,50.0
0.871978,31.0
0.88411,50.0
0.903876,50.0
0.919866,38.0
0.931444,26.0
0.942935,25.0
0.95867,37.0
0.978889,50.0
0.999041,50.0
1.008018,19.0
1.028041,50.0
1.04059,29.0
1.055146,35.0
1.067239,26.0
1.087232,50.0
1.100996,33.0
1.112956,30.0
1.132498,50.0
1.152375,50.0
1.164857,50.0
1.176523,50.0
1.188107,50.0
1.197115,37.0
1.209043,50.0
1.214002,17.0
1.222414,33.0
1.233981,50.0
1.244551,44.0
1.256355,50.0
1.268179,50.0
1.278727,44.0
1.286722,32.0
1.298526,50.0
1.306931,34.0
1.318693,50.0
1.32724,34.0
1.338876,50.0
1.350674,50.0
1.362519,50.0
1.372178,40.0
1.383982,50.0
1.395785,50.0
1.407497,50.0
1.415235,27.0
1.427257,50.0
1.439545,50.0
1.451878,50.0
1.462742,43.0
1.474735,50.0
1.480411,19.0
1.495379,50.0
1.502846,29.0
1.512171,38.0
1.518988,26.0
1.526379,29.0
1.535779,39.0
1.547402,50.0
1.559343,50.0
1.571003,50.0
1.578966,32.0
1.592208,50.0
1.600464,33.0
1.612101,50.0
1.623795,50.0
1.634447,45.0
1.645671,48.0
1.654267,35.0
1.666222,50.0
1.678686,50.0
1.693093,50.0
1.709298,39.0
1.729412,50.0
1.748696,50.0
1.767593,47.0
1.787161,50.0
1.803425,39.0
1.823018,50.0
1.839162,39.0
1.858976,50.0
1.878849,50.0
1.895143,40.0
1.915055,50.0
1.929519,35.0
1.941035,26.0
1.951376,24.0
1.971021,50.0
1.988528,44.0
2.008377,50.0
2.026657,46.0
2.046264,50.0
2.06621,50.0
2.086088,50.0
2.103468,43.0
2.121046,50.0
2.133353,50.0
2.142446,32.0
2.153287,41.0
2.163627,42.0
2.175654,50.0
2.188283,50.0
2.202798,50.0
2.216596,50.0
2.226366,36.0
2.236545,40.0
2.248275,50.0
2.260541,50.0
2.269258,35.0
2.279375,40.0
2.292844,50.0
2.304972,50.0
2.318653,50.0
2.330662,49.0
2.342595,50.0
2.354459,50.0
2.365657,48.0
2.377502,50.0
2.38918,50.0
2.400984,50.0
2.409421,34.0
2.422114,50.0
2.433998,50.0
2.445671,50.0
2.457442,50.0
2.469234,50.0
2.480847,50.0
2.490692,40.0
2.502349,50.0
2.512549,43.0
2.524229,50.0
2.535863,50.0
