Elapsed,Reward
0.017219,22.0
0.03161,34.0
0.039434,15.0
0.047374,23.0
0.051797,14.0
0.058914,26.0
0.069306,43.0
0.08135,50.0
0.086041,15.0
0.091411,19.0
0.095325,11.0
0.101297,22.0
0.112556,48.0
0.119552,27.0
0.125565,22.0
0.130481,18.0
0.136415,21.0
0.143372,29.0
0.149554,21.0
0.156192,22.0
0.163951,16.0
0.173331,20.0
0.189228,39.0
0.201825,29.0
0.214523,29.0
0.224752,22.0
0.243288,46.0
0.250718,14.0
0.260442,26.0
0.271033,43.0
0.27659,18.0
0.282966,20.0
0.292331,36.0
0.296691,15.0
0.302041,19.0
0.306287,13.0
0.310245,10.0
0.32239,49.0
0.333059,45.0
0.340955,30.0
0.345904,17.0
0.355405,39.0
0.367328,50.0
0.377278,41.0
0.381707,14.0
0.388229,23.0
0.393218,15.0
0.398012,16.0
0.402296,13.0
0.414786,41.0
0.425936,26.0
0.431359,10.0
0.443989,31.0
0.460046,40.0
0.479675,50.0
0.499747,50.0
0.509431,19.0
0.521874,29.0
0.528793,12.0
0.547065,45.0
0.56076,32.0
0.56931,16.0
0.58361,34.0
0.59542,36.0
0.604411,19.0
0.620689,37.0
0.640675,50.0
0.658157,45.0
0.678246,50.0
0.693692,38.0
0.713577,50.0
0.732577,48.0
0.740831,32.0
0.751042,45.0
0.76264,50.0
0.770545,32.0
0.783257,50.0
0.803412,50.0
0.818476,35.0
0.830592,27.0
0.847755,50.0
0.859015,50.0
0.870234,50.0
0.881455,50.0
0.891869,46.0
0.903091,50.0
0.914318,50.0
0.925517,50.0
0.936766,50.0
0.947999,50.0
0.956671,35.0
0.974787,46.0
0.993963,50.0
1.005851,29.0
1.015565,21.0
1.033682,47.0
1.04356,23.0
1.054375,24.0
1.063874,22.0
1.080006,41.0
1.097826,46.0
1.106256,17.0
1.120926,37.0
1.139964,50.0
1.156409,42.0
1.168019,28.0
1.186947,50.0
1.205808,50.0
1.219074,31.0
1.236616,45.0
1.255386,50.0
1.266743,50.0
1.274855,33.0
1.285433,46.0
1.296763,50.0
1.308064,50.0
1.319324,50.0
1.331193,50.0
1.343115,50.0
1.355261,50.0
1.374882,50.0
1.393591,48.0
1.41222,50.0
1.427464,39.0
1.446277,50.0
1.465723,50.0
1.48351,46.0
1.501731,48.0
1.521055,50.0
1.532352,42.0
1.543588,48.0
1.55069,27.0
1.560441,39.0
1.573601,50.0
1.582687,37.0
1.594353,50.0
1.605695,50.0
1.614604,34.0
1.620148,19.0
1.633551,50.0
1.64115,30.0
1.652858,50.0
1.661141,34.0
1.672842,50.0
1.681961,38.0
1.688196,21.0
1.699396,50.0
1.708288,35.0
1.721768,50.0
1.733439,49.0
1.744356,46.0
1.755934,50.0
1.767559,50.0
1.777364,40.0
1.788374,47.0
1.800078,50.0
1.809136,38.0
1.821188,50.0
1.832713,50.0
1.844098,50.0
1.854631,46.0
1.866011,50.0
1.874695,36.0
1.886804,50.0
1.896804,39.0
1.90807,50.0
1.919288,50.0
1.930503,50.0
1.941696,50.0
1.952893,50.0
1.964865,50.0
1.984363,50.0
2.003749,50.0
2.022896,50.0
2.04262,50.0
2.05553,49.0
2.069016,50.0
2.080936,50.0
2.10114,50.0
2.120923,50.0
2.140063,49.0
2.157628,45.0
2.177258,50.0
2.196648,50.0
2.216174,50.0
2.235549,50.0
2.25518,50.0
2.272227,42.0
2.291673,50.0
2.311253,50.0
2.330669,50.0
2.347197,40.0
2.363015,37.0
2.380685,44.0
2.400339,50.0
2.41953,50.0
2.43958,50.0
2.460022,50.0
2.480267,50.0
2.500505,50.0
2.517859,44.0
2.537517,50.0
2.557589,50.0
2.573406,50.0
2.585013,50.0
2.596587,50.0
2.606093,39.0
2.618317,50.0
2.629737,50.0
2.64125,50.0
2.653354,50.0
2.665619,50.0
2.684907,50.0
2.704593,50.0
2.72397,50.0
2.74015,41.0
2.759988,50.0
2.779724,50.0
2.798175,44.0
2.816641,50.0
2.827344,45.0
2.840117,50.0
2.85142,50.0
2.86056,38.0
2.871083,44.0
2.883134,50.0
2.892611,37.0
2.901788,38.0
2.920732,47.0
2.932685,50.0
2.945764,50.0
2.95737,50.0
2.968892,50.0
2.981125,50.0
2.993791,50.0
3.005819,50.0
3.017969,50.0
3.032331,50.0
3.04846,49.0
3.060993,50.0
3.069504,32.0
3.08269,50.0
3.094533,50.0
3.106865,50.0
3.118897,50.0
3.125906,26.0
3.137789,50.0
3.150252,50.0
3.160749,41.0
3.172709,50.0
3.184096,50.0
3.196176,50.0
3.215722,50.0
3.235023,50.0
3.253541,47.0
3.27314,50.0
3.291691,48.0
3.311098,50.0
3.330227,50.0
3.338123,30.0
3.351042,50.0
3.3668,50.0
3.378628,50.0
3.391142,50.0
3.403171,50.0
3.415401,50.0
3.427382,50.0
3.437693,42.0
3.449385,50.0
3.460971,50.0
3.473538,50.0
3.486095,50.0
3.50508,49.0
3.517296,50.0
3.536768,50.0
3.549095,50.0
3.567739,50.0
3.58472,41.0
3.599079,50.0
3.613087,50.0
3.626079,50.0
3.637006,46.0
3.648734,50.0
3.660061,44.0
3.670601,42.0
3.68239,50.0
3.694883,50.0
3.713195,50.0
3.725101,50.0
3.74502,50.0
3.764949,50.0
3.784761,50.0
3.804329,50.0
3.824009,50.0
3.84394,50.0
3.86381,50.0
3.883699,50.0
3.903469,50.0
3.923271,50.0
3.943146,50.0
3.960624,42.0
3.979316,48.0
3.991213,50.0
3.998396,29.0
4.006278,33.0
4.015681,41.0
4.027499,50.0
4.039259,50.0
4.053214,50.0
4.073339,50.0
4.093075,50.0
4.112833,50.0
4.132276,50.0
4.151561,50.0
4.171036,50.0
4.190741,50.0
4.210529,50.0
4.230304,50.0
4.249974,50.0
4.269695,50.0
4.282644,50.0
4.295102,50.0
4.303472,30.0
4.315964,50.0
4.327841,50.0
4.340109,50.0
4.352114,50.0
4.363983,50.0
4.376011,50.0
4.387875,50.0
4.399783,50.0
4.412877,50.0
4.433046,50.0
4.452669,50.0
4.472151,50.0
4.491679,50.0
4.511143,50.0
4.531134,50.0
4.551371,50.0
4.57128,50.0
4.58838,42.0
4.608639,50.0
4.621137,47.0
4.641383,50.0
4.655813,35.0
4.675263,50.0
4.694678,50.0
4.713977,50.0
4.723222,21.0
4.742299,50.0
4.761439,50.0
4.773326,26.0
4.793037,50.0
4.81255,50.0
4.831874,50.0
4.85103,50.0
4.870669,50.0
4.890282,50.0
4.910113,50.0
4.929711,50.0
4.949247,50.0
4.968621,50.0
4.988254,50.0
5.007949,50.0
5.027593,50.0
5.047106,50.0
5.066679,50.0
5.086148,50.0
5.105874,50.0
5.125372,50.0
5.146,50.0
5.166387,50.0
5.186838,50.0
5.207018,50.0
5.227488,50.0
5.248026,50.0
5.268238,50.0
5.288399,50.0
5.308712,50.0
5.328661,50.0
5.34884,50.0
5.361177,50.0
5.369169,30.0
5.37813,30.0
5.387653,37.0
5.399707,50.0
5.411394,50.0
5.420331,37.0
5.432072,50.0
5.443219,50.0
5.458847,49.0
5.478888,50.0
5.498154,50.0
5.509639,50.0
5.521114,50.0
5.532572,50.0
5.54409,50.0
5.55553,50.0
5.567796,50.0
5.58778,50.0
5.607927,50.0
5.623248,50.0
5.634583,50.0
5.644798,43.0
5.655822,50.0
5.667602,50.0
5.680103,50.0
5.691625,50.0
5.703874,50.0
5.715358,50.0
5.727022,50.0
5.737708,48.0
5.747665,44.0
5.75896,50.0
5.770048,50.0
5.781569,50.0
5.793003,50.0
5.809279,50.0
5.822161,50.0
5.834228,50.0
5.845869,50.0
5.853612,29.0
5.864121,46.0
5.874946,47.0
5.886615,50.0
5.898493,50.0
5.910547,50.0
5.920596,34.0
5.932873,50.0
5.945298,50.0
5.957628,50.0
5.972502,50.0
5.992448,50.0
6.012082,50.0
6.026604,36.0
6.038568,50.0
6.057132,45.0
6.07668,50.0
6.091601,37.0
6.111,50.0
6.130783,50.0
6.151002,50.0
6.170847,50.0
6.182334,50.0
6.193971,50.0
6.205486,50.0
6.217045,50.0
6.228563,50.0
6.240491,50.0
6.253291,50.0
6.265559,50.0
6.278045,50.0
6.290369,50.0
6.302436,50.0
6.314918,50.0
6.326775,50.0
6.339141,50.0
6.345917,23.0
6.358042,50.0
6.370559,50.0
6.382856,50.0
6.395184,50.0
6.407441,50.0
6.419913,50.0
6.431959,50.0
6.443969,50.0
6.456046,50.0
6.467933,50.0
6.479596,50.0
6.492425,50.0
6.509394,50.0
6.52102,50.0
6.532885,50.0
6.545007,50.0
6.556934,50.0
6.568451,50.0
6.580489,50.0
6.591982,50.0
6.603818,50.0
6.616843,50.0
6.627954,42.0
6.639464,50.0
6.651463,50.0
6.662992,50.0
6.674972,50.0
6.687302,50.0
6.699355,50.0
6.711936,50.0
6.721533,37.0
6.73451,50.0
6.746317,50.0
6.758247,50.0
6.770106,50.0
6.781266,50.0
6.793852,50.0
6.80835,50.0
6.81993,50.0
6.832191,50.0
6.84355,45.0
6.856589,50.0
6.868818,50.0
6.880926,50.0
6.893033,50.0
6.903768,46.0
6.915573,50.0
6.927246,50.0
6.939337,50.0
6.951157,50.0
6.962104,43.0
6.98046,50.0
6.993368,50.0
7.005321,50.0
7.017069,50.0
7.029207,50.0
7.047436,50.0
7.067351,50.0
7.085843,50.0
7.098831,50.0
7.118955,50.0
7.138837,50.0
7.152717,50.0
7.164211,50.0
7.175288,50.0
7.186361,50.0
7.197476,50.0
7.216395,50.0
7.235781,50.0
7.249072,50.0
7.261024,50.0
7.27282,50.0
7.284461,50.0
7.296242,50.0
7.308262,50.0
7.321979,50.0
7.333941,50.0
7.345868,50.0
7.357839,50.0
7.369979,50.0
7.382207,50.0
7.394135,50.0
7.406541,50.0
7.418541,50.0
7.431694,50.0
7.443872,50.0
7.456117,50.0
7.468168,50.0
7.480021,50.0
7.49184,50.0
7.50365,50.0
7.515516,50.0
7.527145,50.0
7.538662,50.0
7.552879,50.0
7.573123,50.0
7.593155,50.0
7.612934,50.0
7.625579,50.0
7.637533,50.0
7.648822,50.0
7.661658,50.0
7.679848,50.0
7.691384,50.0
7.703072,50.0
7.714805,50.0
7.727143,50.0
7.738966,50.0
7.750441,50.0
7.762203,50.0
7.77367,50.0
7.786699,50.0
7.799381,50.0
7.811336,50.0
7.823349,50.0
7.843424,50.0
7.863281,50.0
7.883535,50.0
7.896031,50.0
7.908859,50.0
7.922333,50.0
7.934005,46.0
7.946237,50.0
7.958165,50.0
7.970243,50.0
