Elapsed,Reward
0.010079,12.0
0.016247,22.0
0.023766,29.0
0.034166,42.0
0.042128,31.0
0.04932,27.0
0.053756,13.0
0.06537,50.0
0.071172,18.0
0.083046,50.0
0.088776,17.0
0.092894,11.0
0.096413,8.0
0.102364,20.0
0.10828,19.0
0.112555,12.0
0.117574,16.0
0.125323,30.0
0.132329,25.0
0.13831,15.0
0.143581,17.0
0.150336,23.0
0.156042,16.0
0.162304,22.0
0.16981,29.0
0.174741,16.0
0.180625,21.0
0.187174,25.0
0.194576,29.0
0.198326,10.0
0.204733,23.0
0.210446,21.0
0.214586,13.0
0.218466,12.0
0.22357,18.0
0.227047,10.0
0.23157,15.0
0.241751,39.0
0.246089,14.0
0.253649,31.0
0.265104,50.0
0.27552,44.0
0.281246,21.0
0.287507,24.0
0.290767,9.0
0.299053,35.0
0.307222,32.0
0.311655,13.0
0.326164,40.0
0.331295,17.0
0.335503,14.0
0.339417,11.0
0.343653,12.0
0.353459,36.0
0.363296,38.0
0.370978,27.0
0.379244,34.0
0.391252,50.0
0.395599,13.0
0.401807,23.0
0.406752,18.0
0.413942,28.0
0.42971,43.0
0.436237,12.0
0.455704,50.0
0.464107,19.0
0.475564,27.0
0.484554,20.0
0.492314,17.0
0.505258,31.0
0.519928,37.0
0.531735,28.0
0.545524,34.0
0.564714,50.0
0.58384,50.0
0.596104,30.0
0.60113,15.0
0.612836,48.0
0.622774,40.0
0.634614,50.0
0.638839,14.0
0.64505,22.0
0.655562,46.0
0.664394,38.0
0.670109,20.0
0.679852,41.0
0.688351,33.0
0.698223,40.0
0.707818,38.0
0.726813,50.0
0.741931,36.0
0.756467,35.0
0.764738,18.0
0.774259,21.0
0.794848,50.0
0.814511,50.0
0.828212,32.0
0.847872,49.0
0.868378,50.0
0.883669,36.0
0.901198,43.0
0.910494,27.0
0.919167,26.0
0.927781,23.0
0.937901,29.0
0.946619,34.0
0.955524,30.0
0.963346,29.0
0.974851,50.0
0.982166,30.0
0.992154,41.0
0.99966,31.0
1.005326,22.0
1.01055,18.0
1.020927,45.0
1.032482,46.0
1.037943,19.0
1.050433,50.0
1.059741,37.0
1.072219,50.0
1.080122,32.0
1.092177,50.0
1.102936,41.0
1.114316,50.0
1.12707,50.0
1.138664,50.0
1.147996,34.0
1.155493,28.0
1.167567,49.0
1.179777,50.0
1.188394,32.0
1.196821,34.0
1.208119,47.0
1.215596,27.0
1.227098,50.0
1.233785,24.0
1.245415,50.0
1.256204,46.0
1.27522,50.0
1.290277,37.0
1.302728,30.0
1.321741,50.0
1.340897,50.0
1.360042,50.0
1.374374,35.0
1.39254,46.0
1.411577,50.0
1.430963,50.0
1.446643,39.0
1.464032,44.0
1.483338,50.0
1.502771,50.0
1.521661,50.0
1.541128,50.0
1.555782,36.0
1.575738,50.0
1.595668,50.0
1.607635,27.0
1.62778,50.0
1.644155,39.0
1.653685,21.0
1.666211,29.0
1.684835,48.0
1.696164,27.0
1.710369,35.0
1.72441,34.0
1.743776,50.0
1.755976,29.0
1.772519,42.0
1.791877,50.0
1.802092,24.0
1.820142,45.0
1.834196,34.0
1.853828,50.0
1.873996,50.0
1.891171,41.0
1.910998,48.0
1.930796,50.0
1.949905,50.0
1.969282,50.0
1.988251,48.0
2.007784,50.0
2.027609,50.0
2.043991,40.0
2.061483,45.0
2.075944,36.0
2.095306,50.0
2.114902,50.0
2.134508,50.0
2.154315,50.0
2.170384,39.0
2.190101,50.0
2.206726,39.0
2.223409,41.0
2.243146,50.0
2.262648,50.0
2.276933,35.0
2.296434,50.0
2.31294,42.0
2.329447,41.0
2.34644,47.0
2.361756,48.0
2.376066,50.0
2.387251,50.0
2.395518,35.0
2.406838,50.0
2.416274,41.0
2.427396,50.0
2.439821,50.0
2.447942,32.0
2.460381,50.0
2.474999,50.0
2.486314,50.0
2.497688,50.0
2.508792,50.0
2.517057,35.0
2.528206,50.0
2.539272,50.0
2.550359,50.0
2.56226,50.0
2.573727,50.0
2.58493,50.0
2.596434,50.0
2.607536,50.0
2.618962,50.0
2.63038,50.0
2.640912,47.0
2.652509,50.0
2.661522,39.0
2.672754,50.0
2.683624,48.0
2.694619,50.0
2.705855,50.0
2.716977,50.0
2.72821,50.0
2.741582,49.0
2.751623,42.0
2.763102,50.0
2.774576,50.0
2.786067,50.0
2.796145,43.0
2.807592,50.0
2.81669,39.0
2.826132,41.0
2.837774,50.0
2.848653,44.0
2.86017,50.0
2.871547,50.0
2.882906,50.0
2.894301,50.0
2.905972,50.0
2.91798,50.0
2.929259,50.0
2.940537,50.0
2.959818,50.0
2.976838,42.0
2.993536,40.0
3.013268,50.0
3.03198,50.0
3.04419,50.0
3.055545,50.0
3.067245,50.0
3.080829,50.0
3.094642,50.0
3.114767,50.0
3.134983,50.0
3.154927,50.0
3.172,42.0
3.191882,50.0
3.207413,50.0
3.219801,50.0
3.240113,50.0
3.26049,50.0
3.280763,50.0
3.301081,50.0
3.32141,50.0
3.332245,23.0
3.352407,50.0
3.372538,50.0
3.392614,50.0
3.405225,28.0
3.425421,50.0
3.445485,50.0
3.46586,50.0
3.486223,50.0
3.505878,49.0
3.525731,50.0
3.544013,45.0
3.55433,22.0
3.574375,50.0
3.594279,50.0
3.614246,50.0
3.634324,50.0
3.652585,46.0
3.666404,31.0
3.686792,50.0
3.706529,50.0
3.725292,46.0
3.745449,50.0
3.765334,50.0
3.785155,50.0
3.805118,50.0
3.817674,50.0
3.837058,50.0
3.849514,48.0
3.861597,50.0
3.87438,50.0
3.887956,50.0
3.901051,50.0
3.916463,50.0
3.927985,42.0
3.940234,50.0
3.952727,50.0
3.964814,50.0
3.97686,50.0
3.986794,39.0
3.999004,50.0
4.012067,50.0
4.024889,50.0
4.044643,50.0
4.064578,50.0
4.08438,50.0
4.104055,50.0
4.123664,50.0
4.143608,50.0
4.163502,50.0
4.183268,50.0
4.203182,50.0
4.22297,50.0
4.242837,50.0
4.262297,50.0
4.281773,50.0
4.301486,50.0
4.319734,50.0
4.331811,50.0
4.342775,46.0
4.356409,50.0
4.368425,50.0
4.379469,45.0
4.39104,50.0
4.403139,50.0
4.415749,50.0
4.426843,50.0
4.438887,50.0
4.450453,50.0
4.461905,50.0
4.480029,50.0
4.492911,50.0
4.511568,48.0
4.531191,50.0
4.550497,50.0
4.570093,50.0
4.590204,50.0
4.610409,50.0
4.630395,50.0
4.650643,50.0
